Sr.,Stock Name,Symbol,Links,% Chg,Price,Volume
69,Multi Commodity Exchange Of India Limited,MCX,P&F | F.A,0.011899999999999999,1537.0,230581
152,Coal India Limited,COALINDIA,P&F | F.A,0.011899999999999999,234.15,4465595
94,United Spirits Limited,MCDOWELL-N,P&F | F.A,0.0118,941.0,371793
42,Pidilite Industries Limited,PIDILITIND,P&F | F.A,0.0113,2638.3,148921
151,Exide Industries Limited,EXIDEIND,P&F | F.A,0.011200000000000002,249.2,4529814
176,Hindustan Copper Limited,HINDCOPPER,P&F | F.A,0.011200000000000002,117.6,2389813
179,Gail (india) Limited,GAIL,P&F | F.A,0.011200000000000002,108.6,9278224
109,Container Corporation Of India Limited,CONCOR,P&F | F.A,0.0111,680.5,559717
187,Punjab National Bank,PNB,P&F | F.A,0.0111,59.25,49494607
27,Siemens Limited,SIEMENS,P&F | F.A,0.0109,3750.5,102652
118,Tata Motors Limited,TATAMOTORS,P&F | F.A,0.0108,594.6,5207893
96,Bharti Airtel Limited,BHARTIARTL,P&F | F.A,0.0106,875.8,1392370
75,ICICI Lombard General Insurance Company Ltd,ICICIGI,P&F | F.A,0.0104,1340.9,133546
134,Lic Housing Finance Limited,LICHSGFIN,P&F | F.A,0.0104,397.85,862612
54,Torrent Pharmaceuticals Limited,TORNTPHARM,P&F | F.A,0.0103,1905.5,108661
183,Motherson Sumi Systems Limited,MOTHERSON,P&F | F.A,0.01,91.2,13749270
10,Ultratech Cement Limited,ULTRACEMCO,P&F | F.A,0.0098,8458.95,95454
41,Interglobe Aviation Limited,INDIGO,P&F | F.A,0.0098,2680.5,185543
23,Dixon Technologies,DIXON,P&F | F.A,0.0092,4244.8,357271
